Conversation Id,Date2,Date,Status,Escalated,Escalated_2,Escalation Reason,Abandoned,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
MW67RQZNYJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses More Help in Password reset,1.0,,0,,0,R2,46.0,>30 sec,36,7,I2,,,,,,I2,,,,,,0,0,0,1,,,16,12,1,0,0,1,4,3,6,1,0,1,,Eligibility Check,15,Residential
MW67RTABQKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,1.0,1.0,0,,0,R1,20.0,5-30 sec,10,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,30,25,2,1,1,0,18,3,6,1,1,0,Address,,15,Residential
MW67RTCFIJQAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,35,Residential
MW67RZDMYJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,16,Residential
MW67S3BTAKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,0,R3,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,16,Residential
MW67S472IKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,0,,1,R1,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,16,Residential
MW67SL7BIJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Faxing documents for Attachments,,,0,,1,,50.0,>30 sec,40,7,I4,,,,,,I4,,,,,,0,0,0,1,,,30,24,2,0,0,2,18,3,6,1,1,1,Phone number,Eligibility Check,35,Residential
MW67SNAQQKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,23.0,5-30 sec,13,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,19,1,0,0,1,10,3,6,1,0,1,,Reason for MPU,35,Residential
MW67SUP3AJQAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,R6,23.0,5-30 sec,13,6,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,21,19,4,0,1,3,9,3,6,0,1,0,Address,,17,Residential
MW67TAE2QKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,0,,0,R2,25.0,5-30 sec,15,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,23,21,3,0,1,2,11,3,6,1,0,0,,,17,Residential
MW67VQ4UQKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,55.0,>30 sec,45,8,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,13,13,1,0,0,1,1,3,6,1,1,1,Address,Eligibility Check,17,Residential
MW67RTCFIJQAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,17,Residential
MW67RZDMYJYAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,35,Residential
MW67S3BTAKAAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,User chooses Something Else route in main menu,1.0,,0,,1,,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,36,Residential
MW67S472IKAAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,1,Intent captured,1,,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,18,Residential
MW67SL7BIJYAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Faxing documents for Attachments,,,0,,1,,50.0,>30 sec,40,7,I4,,,,,,I4,,,,,,0,0,0,1,,,30,24,2,0,0,2,18,3,6,1,1,1,Phone number,Eligibility Check,18,Residential
MW67SNAQQKAAA1,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,23.0,5-30 sec,13,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,19,1,0,0,1,10,3,6,1,0,1,,Reason for MPU,18,Residential
MW67QNWJAJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User asked about In Domain Negative - help_submit_pa,,,0,,1,,,>30 sec,32,5,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,25,24,3,0,0,3,13,3,6,0,0,0,,,18,Residential
MW67QPXFYKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,Out of Scope Live Agent Handoff,During Authentication,Touchpoint is ePA Failed Sent,1.0,,0,,1,,0.0,5-30 sec,12,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,21,17,1,0,1,0,9,3,6,0,0,1,,Eligibility Check,18,Residential
MW67QQQ6IKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,Out of Scope Live Agent Handoff,After Authentication (MPU Only),User chooses More Help in Password reset,,,0,,1,,18.0,5-30 sec,8,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,28,27,1,1,0,0,16,3,6,0,1,0,Phone number,,36,Residential
MW67QTSTQJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,Out of Scope Live Agent Handoff,After Authentication (MPU Only),User was not happy with the information provided by Amelia.,1.0,,0,,1,,184.0,>30 sec,174,5,Other,,,,,,Other,,,,,,1,0,1,1,Eligible,0.0,27,25,0,0,0,0,15,3,6,1,0,1,,Reason for MPU,36,Residential
MW67RCNKQJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,53.0,>30 sec,43,7,MPU,,,,,,MPU,,,,,,1,1,0,0,Eligible,1.0,25,18,4,1,1,2,13,3,6,1,0,0,,,19,Residential
MW67RDQCYKAAA2,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,Out of Scope Live Agent Handoff,After Authentication (Others),User selected Pick form in main menu,,,0,,1,,100.0,>30 sec,90,5,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,25,23,2,0,1,1,13,3,6,1,0,1,,Pickup details,19,Residential
MW67RH6FQJQAA2,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,,25.0,5-30 sec,15,8,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,19,13,4,1,1,2,7,3,6,1,1,0,Phone number,,19,Residential
MW67RLTXAKAAA2,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,1.0,1.0,0,,0,,240.0,>30 sec,230,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,16,1,0,1,0,10,3,6,0,1,0,Address,,19,Residential
MW67RNUEQKAAA2,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,Out of Scope Live Agent Handoff,After Authentication (MPU + Others),User chooses Something Else route in form main menu,1.0,,0,,0,,162.0,>30 sec,152,5,I3,,,,,,I3,,,,,,0,0,0,1,,,29,29,3,1,1,1,17,3,6,1,0,1,,Eligibility Check,19,Residential
MW67RQRDYKAAA2,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,,,0,,1,,30.0,5-30 sec,20,8,MPU,,,,,,MPU,,,,,,1,0,1,0,Eligible,1.0,21,15,1,1,0,0,9,3,6,0,1,0,Address,,36,Residential
MW67RQXDQJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,0,,37.0,>30 sec,27,5,I4,,,,,,I4,,,,,,0,0,0,1,,,11,4,2,1,0,1,4,2,2,1,1,0,Phone number,,36,Residential
MW67RQZNYJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses More Help in Password reset,1.0,,0,,0,,46.0,>30 sec,36,7,I2,,,,,,I2,,,,,,0,0,0,1,,,16,12,1,0,0,1,4,3,6,1,0,1,,Eligibility Check,36,Residential
MW67RTABQKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,1.0,1.0,0,,0,,20.0,5-30 sec,10,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,30,25,2,1,1,0,18,3,6,1,1,0,Address,,36,Residential
MW67RLTXAKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,,25.0,5-30 sec,15,8,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,19,13,4,1,1,2,7,3,6,1,1,0,Phone number,,37,Residential
MW67RTCFIJQAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,34,Residential
MW67RZDMYJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,20,Residential
MW67S3BTAKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,1,ANI based auth,1,,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,20,Residential
MW67S472IKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,1,Intent captured,1,,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,20,Residential
MW67SL7BIJYAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User need assistance on Faxing documents for Attachments,,,0,,1,,50.0,>30 sec,40,7,I4,,,,,,I4,,,,,,0,0,0,1,,,30,24,2,0,0,2,18,3,6,1,1,1,Phone number,Eligibility Check,20,Residential
MW67SNAQQKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,23.0,5-30 sec,13,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,19,1,0,0,1,10,3,6,1,0,1,,Reason for MPU,20,Residential
MW67SUP3AJQAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,23.0,5-30 sec,13,6,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,21,19,4,0,1,3,9,3,6,0,1,0,Address,,20,Residential
MW67TAE2QKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,0,,0,R2,25.0,5-30 sec,15,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,23,21,3,0,1,2,11,3,6,1,0,0,,,20,Residential
MW67VQ4UQKAAA2,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,55.0,>30 sec,45,8,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,13,13,1,0,0,1,1,3,6,1,1,1,Address,Eligibility Check,37,Residential
MW67RTCFIJQAA12,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,37,Residential
MW67RZDMYJYAA12,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,37,Residential
MW67S3BTAKAAA12,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,User chooses Something Else route in main menu,1.0,,0,,1,,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,37,Residential
MW67S472IKAAA12,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,,1.0,1.0,0,,1,R1,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,34,Residential
MW67SL7BIJYAA12,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User need assistance on Faxing documents for Attachments,,,0,,1,,50.0,>30 sec,40,7,I4,,,,,,I4,,,,,,0,0,0,1,,,30,24,2,0,0,2,18,3,6,1,1,1,Phone number,Eligibility Check,21,Residential
MW67QNWJAJYAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,23.0,5-30 sec,13,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,19,1,0,0,1,10,3,6,1,0,1,,Reason for MPU,21,Residential
MW67QPXFYKAAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User asked about In Domain Negative - help_submit_pa,,,0,,1,,,>30 sec,32,5,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,25,24,3,0,0,3,13,3,6,0,0,0,,,21,Residential
MW67QQQ6IKAAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,Touchpoint is ePA Failed Sent,1.0,,0,,0,R2,0.0,5-30 sec,12,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,21,17,1,0,1,0,9,3,6,0,0,1,,Eligibility Check,21,Residential
MW67QTSTQJYAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User chooses More Help in Password reset,,,0,,0,R3,18.0,5-30 sec,8,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,28,27,1,1,0,0,16,3,6,0,1,0,Phone number,,21,Residential
MW67RCNKQJYAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,false,false,User was not happy with the information provided by Amelia.,1.0,,0,,1,R5,184.0,>30 sec,174,5,Other,,,,,,Other,,,,,,1,0,1,1,Eligible,0.0,27,25,0,0,0,0,15,3,6,1,0,1,,Reason for MPU,21,Residential
MW67RDQCYKAAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,53.0,>30 sec,43,7,MPU,,,,,,MPU,,,,,,1,1,0,0,Eligible,0.0,25,18,4,1,1,2,13,3,6,1,0,0,,,21,Residential
MW67RH6FQJQAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,Out of Scope Live Agent Handoff,After Authentication (Others),User selected Pick form in main menu,,,0,,1,,100.0,>30 sec,90,5,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,25,23,2,0,1,1,13,3,6,1,0,1,,Pickup details,37,Residential
MW67RNUEQKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,1.0,1.0,0,,1,,240.0,>30 sec,230,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,16,1,0,1,0,10,3,6,0,1,0,Address,,37,Residential
MW67RQRDYKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,Out of Scope Live Agent Handoff,After Authentication (MPU + Others),User chooses Something Else route in form main menu,1.0,,0,,1,,162.0,>30 sec,152,5,I3,,,,,,I3,,,,,,0,0,0,1,,,29,29,3,1,1,1,17,3,6,1,0,1,,Eligibility Check,34,Residential
MW67RQXDQJYAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,,,0,,1,,30.0,5-30 sec,20,8,MPU,,,,,,MPU,,,,,,1,0,1,0,Eligible,0.0,21,15,1,1,0,0,9,3,6,0,1,0,Address,,34,Residential
MW67RQZNYJYAA3,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,1,,37.0,>30 sec,27,5,I4,,,,,,I4,,,,,,0,0,0,1,,,11,4,2,1,0,1,4,2,2,1,1,0,Phone number,,22,Residential
MW67RTABQKAAA3,2025-09-10 00:00:00,2025-09-10 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses More Help in Password reset,1.0,,0,,0,,46.0,>30 sec,36,7,I2,,,,,,I2,,,,,,0,0,0,1,,,16,12,1,0,0,1,4,3,6,1,0,1,,Eligibility Check,22,Residential
MW67RTCFIJQAA3,2025-09-10 00:00:00,2025-09-10 00:00:00,CLOSED,false,false,,1.0,1.0,0,,0,,20.0,5-30 sec,10,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,30,25,2,1,1,0,18,3,6,1,1,0,Address,,22,Residential
MW67RZDMYJYAA3,2025-09-10 00:00:00,2025-09-10 00:00:00,CLOSED,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,0.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,22,Residential
MW67S3BTAKAAA3,2025-09-10 00:00:00,2025-09-10 00:00:00,CLOSED,false,false,,,,0,,0,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,22,Residential
MW67S472IKAAA3,2025-09-10 00:00:00,2025-09-10 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,0,,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,22,Residential
MW67SL7BIJYAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,1.0,1.0,0,,1,R1,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,38,Residential
MW67SNAQQKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User need assistance on Faxing documents for Attachments,,,0,,0,,50.0,>30 sec,40,7,I4,,,,,,I4,,,,,,0,0,0,1,,,30,24,2,0,0,2,18,3,6,1,1,1,Phone number,Eligibility Check,39,Residential
MW67SUP3AJQAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,0,,23.0,5-30 sec,13,9,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,19,1,0,0,1,10,3,6,1,0,1,,Reason for MPU,40,Residential
MW67TAE2QKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,R6,23.0,5-30 sec,13,6,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,0.0,21,19,4,0,1,3,9,3,6,0,1,0,Address,,41,Residential
MW67VQ4UQKAAA3,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,1.0,1.0,0,,0,R2,25.0,5-30 sec,15,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,23,21,3,0,1,2,11,3,6,1,0,0,,,42,Residential
MW67RTCFIJQAA13,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,,55.0,>30 sec,45,8,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,13,13,1,0,0,1,1,3,6,1,1,1,Address,Eligibility Check,23,Residential
MW67RZDMYJYAA13,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User need assistance on Multi-Factor Authorization,,,0,,1,,20.0,5-30 sec,10,8,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,0.0,28,24,2,0,0,2,16,3,6,0,1,0,Address,,23,Residential
MW67S3BTAKAAA13,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,,321.0,>30 sec,311,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,10,5,4,1,0,3,4,3,0,0,1,1,Phone number,Eligibility Check,23,Residential
MW67S472IKAAA13,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,1,,79.0,>30 sec,69,7,I4,,,,,,I4,,,,,,0,0,0,1,,,28,22,2,1,1,0,16,3,6,0,1,0,Address,,23,Residential
MW67SL7BIJYAA13,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,1.0,1.0,0,,1,R1,21.0,5-30 sec,11,5,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,12,5,1,0,0,1,0,3,6,0,0,1,,Pickup details,23,Residential
