conversation_id,start_time,end_time,turn_count,Date,Status,Status2,Escalated,Escalated_2,Escalation Reason,timeZone,Abandoned,Abandoned_during_VA1,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
2233a8f3-d5aa-45ce-8c5b-3869c56bd660,2025-09-18 13:30:44.130092 UTC,2025-09-18 13:30:44.130092 UTC,1,2025-09-18,,,,,User selected Pick form in main menu,America/Los_Angeles,0,,1,1,ANI based Auth,0,,0,<5 sec,0,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
4037ce37-a69f-40cf-8b45-a3c9acfa96c9,2025-09-18 13:31:00.116544 UTC,2025-09-18 13:31:00.116544 UTC,1,2025-09-18,,,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,0,<5 sec,0,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
010683f7-7177-4c28-9e88-4ee6114c2e6c,2025-09-18 13:31:34.695307 UTC,2025-09-18 13:31:34.695307 UTC,1,2025-09-18,,,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,0,<5 sec,0,6,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
2047d88d-9825-483a-98fa-15c8356a0c45,2025-09-18 13:31:41.187708 UTC,2025-09-18 13:31:41.187708 UTC,1,2025-09-18,,,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,ANI based Auth,0,,0,<5 sec,0,8,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
a1cb9f0a-6943-4848-ac24-34a962cba221,2025-09-18 13:36:29.380301 UTC,2025-09-18 13:36:29.380301 UTC,1,2025-09-18,,,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,Intent Captured,0,,0,<5 sec,0,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
383a2dc9-839b-4c32-987c-4058866f6bdb,2025-09-18 13:39:44.644822 UTC,2025-09-18 13:42:20.884720 UTC,8,2025-09-18,OPEN,OPEN,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Intent Captured,0,,156,>120 sec,156,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
c92ad55c-df40-459f-afcc-555881900d44,2025-09-18 13:43:33.419944 UTC,2025-09-18 13:47:56.088661 UTC,12,2025-09-18,OPEN,OPEN,false,false,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,262,>120 sec,262,3,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065TK4rROyWTKalfm-sTD2nFA,2025-09-18 16:27:24.551050 UTC,2025-09-18 16:27:42.449611 UTC,2,2025-09-18,,,,,Touchpoint is ePA Failed Sent,,0,,1,1,ANI based Auth,0,,17,>30 sec,17,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065ofFx-5uMS86rgd8agIM4LA,2025-09-18 16:35:15.510712 UTC,2025-09-18 16:35:15.510712 UTC,1,2025-09-18,,,,,User was not happy with the information provided by Amelia.,,0,,1,1,Reason for MPU provided,0,,0,<5 sec,0,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065YvU1u69vTs62XG50HEl6WA,2025-09-18 16:37:47.185766 UTC,2025-09-18 16:38:02.621376 UTC,2,2025-09-18,,,,,Touchpoint is ePA Failed Sent,,0,,1,1,Eligibility for raising MPU request,0,,15,>30 sec,15,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
19029efa-f1dd-4ff2-97b1-4240f320234b,2025-09-18 17:07:00.025539 UTC,2025-09-18 17:07:31.013060 UTC,6,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Intent Captured,0,,30,>30 sec,30,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
b66ab441-f985-4418-a3a4-a4b01b94e8bb,2025-09-18 17:17:22.548094 UTC,2025-09-18 17:17:31.115178 UTC,6,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Address Match,0,,8,>30 sec,8,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
189b9b15-84c0-4979-8647-8206e12b1ec6,2025-09-18 17:30:15.805300 UTC,2025-09-18 17:31:48.869980 UTC,6,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Intent Captured,0,,93,60-120 sec,93,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
142afb6e-4248-4a60-8fcd-da7a7cca8b04,2025-09-18 18:01:13.826504 UTC,2025-09-18 18:02:49.012238 UTC,7,2025-09-18,OPEN,OPEN,,,User selected Pick form in main menu,America/Los_Angeles,0,,1,1,Address Match,0,,95,60-120 sec,95,8,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
d46ee379-110b-4083-a0ef-1f7455149dd4,2025-09-18 18:05:39.491285 UTC,2025-09-18 18:21:39.216874 UTC,10,2025-09-18,OPEN,OPEN,,,User selected Pick form in main menu,America/Los_Angeles,0,,1,1,Address Match,0,,959,>120 sec,959,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
c07d6cb2-e7d0-445c-8efb-3919aa10a375,2025-09-18 19:00:50.746836 UTC,2025-09-18 19:00:50.746836 UTC,1,2025-09-18,,,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,0,<5 sec,0,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
8ec8c118-f100-4a28-9d50-7769a313c03d,2025-09-18 19:55:08.268221 UTC,2025-09-18 19:55:54.198937 UTC,4,2025-09-18,OPEN,OPEN,,,User selected Pick form in main menu,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,45,30-60 sec,45,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
081srHEQT-GTuiy4QfjAXw7CQ,2025-09-18 19:56:40.351808 UTC,2025-09-18 19:59:24.870339 UTC,11,2025-09-18,CLOSED,CLOSED,,,User asked about In Domain Negative - help_submit_pa,,0,,1,1,Eligibility for raising MPU request,0,,164,>120 sec,164,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
e258200c-fab4-4e20-aa75-c263d45434d4,2025-09-18 20:11:26.674496 UTC,2025-09-18 20:11:48.919889 UTC,4,2025-09-18,OPEN,OPEN,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Reason for MPU provided,0,,22,>30 sec,22,8,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065WMVhLZjnSyKhP_wcMO5zmA,2025-09-18 20:32:43.451477 UTC,2025-09-18 20:32:55.434337 UTC,2,2025-09-18,,,,,User asked about In Domain Negative - help_submit_pa,,0,,1,1,Intent Captured,0,,11,>30 sec,11,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065obCztqMZQ2KkXvaX7nq9uA,2025-09-18 20:52:04.977773 UTC,2025-09-18 20:52:04.977773 UTC,1,2025-09-18,,,,,Touchpoint is ePA Failed Sent,,0,,1,1,Address Match,0,,0,<5 sec,0,2,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
081_nmqK1DgTFWLx8a7weZ5kQ,2025-09-18 20:57:25.652286 UTC,2025-09-18 20:57:25.652286 UTC,1,2025-09-18,,,,,User selected Pick form in main menu,,0,,1,1,ANI based Auth,0,,0,<5 sec,0,2,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
119oTbe5awVSeiE3vd4tC0YAw,2025-09-18 21:05:06.146292 UTC,2025-09-18 21:05:06.146292 UTC,1,2025-09-18,,,,,User selected Pick form in main menu,,0,,1,1,Reason for MPU provided,0,,0,<5 sec,0,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
202f6ab8-e79b-4411-848e-b910f95e3b89,2025-09-18 22:08:54.824697 UTC,2025-09-18 22:12:08.959711 UTC,6,2025-09-18,OPEN,OPEN,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,Intent Captured,0,,194,>120 sec,194,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
ec995d0a-2284-490a-9ca2-97cf1891378f,2025-09-18 22:14:37.420561 UTC,2025-09-18 22:14:44.202686 UTC,6,2025-09-18,OPEN,OPEN,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Address Match,0,,6,>30 sec,6,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
bfefbacc-bef3-4119-9354-6dd88261dac3,2025-09-18 22:15:43.954427 UTC,2025-09-18 22:16:39.333009 UTC,5,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Intent Captured,0,,55,30-60 sec,55,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
7195e8f9-f7de-4777-8c68-caea0e6de16e,2025-09-18 22:17:56.549119 UTC,2025-09-18 22:18:05.089317 UTC,5,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Reason for MPU provided,0,,8,>30 sec,8,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
3e8ad038-8717-4da7-a2a3-15e32bd5c418,2025-09-18 22:21:03.515208 UTC,2025-09-18 22:21:11.830786 UTC,5,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,ANI based Auth,0,,8,>30 sec,8,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
21073344-2bf2-4366-82b8-9f8d672062cf,2025-09-18 22:21:37.772809 UTC,2025-09-18 22:22:27.486574 UTC,5,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,ANI based Auth,0,,49,30-60 sec,49,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
d5df4430-36b4-4349-9420-cf0addc98cba,2025-09-18 22:27:30.503861 UTC,2025-09-18 22:28:52.026694 UTC,6,2025-09-18,OPEN,OPEN,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,ANI based Auth,0,,81,60-120 sec,81,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
89718238-5723-49dc-a881-c47f248fbb63,2025-09-18 22:31:05.224346 UTC,2025-09-18 22:32:15.099425 UTC,6,2025-09-18,OPEN,OPEN,,,User selected Pick form in main menu,America/Los_Angeles,0,,1,1,Intent Captured,0,,69,60-120 sec,69,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
08266c98-f0bb-4d4c-bd77-b92bacc5df5a,2025-09-18 22:36:46.981982 UTC,2025-09-18 22:38:33.869197 UTC,10,2025-09-18,OPEN,OPEN,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,ANI based Auth,0,,106,60-120 sec,106,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
66681c5b-e83b-464b-b9b5-4fc85090e3d4,2025-09-18 22:39:51.867248 UTC,2025-09-18 22:40:03.361129 UTC,10,2025-09-18,OPEN,OPEN,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,Address Match,0,,11,>30 sec,11,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
21b0438e-96e4-4847-a579-2c1c0e7387ff,2025-09-18 22:40:54.824280 UTC,2025-09-18 22:42:10.942067 UTC,9,2025-09-18,OPEN,OPEN,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,Reason for MPU provided,0,,76,60-120 sec,76,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
ff31506c-772d-413d-94f9-0e3a2ee3a785,2025-09-18 22:43:43.100856 UTC,2025-09-18 22:44:55.681136 UTC,9,2025-09-18,OPEN,OPEN,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Reason for MPU provided,0,,72,60-120 sec,72,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
6249656e-f620-4a4c-9541-e4b52907c7e8,2025-09-18 22:48:47.910215 UTC,2025-09-18 22:49:58.754856 UTC,9,2025-09-18,OPEN,OPEN,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,MPU request raised,0,,70,60-120 sec,70,6,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
4fdb2dfe-4e29-40ac-8e5e-00b7b813a030,2025-09-18 22:50:35.452908 UTC,2025-09-18 22:51:43.422482 UTC,11,2025-09-18,OPEN,OPEN,false,false,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Reason for MPU provided,0,,67,60-120 sec,67,2,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
820448c7-e918-417f-aed0-58be0e160d04,2025-09-18 22:52:07.558267 UTC,2025-09-19 10:51:06.049850 UTC,14,2025-09-18,OPEN,OPEN,false,false,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,ANI based Auth,0,,43138,>120 sec,43138,6,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
a41ac53d-7bd4-46fe-abed-ad39fdb4a507,2025-09-19 09:39:46.959668 UTC,2025-09-19 09:40:07.074174 UTC,3,2025-09-19,,,,,Touchpoint is ePA Failed Sent,America/Los_Angeles,0,,1,1,Intent Captured,0,,20,>30 sec,20,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
c7ec0b26-8d9e-4830-ba14-5314883bce49,2025-09-19 10:00:54.914284 UTC,2025-09-19 10:02:27.588846 UTC,4,2025-09-19,,,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,92,60-120 sec,92,8,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
b4cc8461-10dc-48ac-a26f-b5206c84feba,2025-09-19 10:08:34.074295 UTC,2025-09-19 10:08:41.509433 UTC,3,2025-09-19,,,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Intent Captured,0,,7,>30 sec,7,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
